Non Reportable

 IN THE SUPREME COURT OF INDIA
CRIMINAL APPELLATE JURISDICTION

CRIMINAL APPEAL Nos. 407- 408 of 2009

Mohd. Akhtar @ Kari & Ors.                  .... Appellants

                                    Versus  .... Respondents
State of Bihar & Anr.

J U D G M E N T	PREAMBLE
 State of Karnataka3 referred to several earlier judgments        dealing with appeals against acquittals and observed that the appellate court must bear in mind the following : "12. .. ..
       (i) There is presumption of innocence in favour of an accused person and such 2 (1952) 3 SCR 193 3 (2014) 5 SCC 730  12 (i-iv) presumption is strengthened by the order of acquittal passed in his favour by the trial court; (ii) The accused person is entitled to the benefit of reasonable doubt when it deals with the merit of the appeal against acquittal; (iii) Though, the powers of the appellate court in considering the appeals against acquittal are as extensive as its powers in appeals against convictions but the appellate court is generally loath in disturbing the finding of fact recorded by the trial court.	PRE_RELIED
It is so because the trial court had an advantage of seeing the demeanour of the witnesses.	PRE_RELIED
If the trial court takes a reasonable view of the facts of the case, interference by the appellate court with the judgment of acquittal is not justified.	PRE_RELIED
Unless, the conclusions reached by the trial court are palpably wrong or based on erroneous view of the law or if such conclusions are allowed to stand, they are likely to result in grave injustice, the reluctance on the part of the appellate court in interfering with such conclusions is fully justified; and (iv) Merely because the appellate court on reappreciation and re-evaluation of the evidence is inclined to take a different view, interference with the judgment of acquittal is not justified if the view taken by the trial court is a possible view.	PRE_RELIED
The evenly balanced views of the evidence must not result in the interference by the appellate court in the judgment of the trial court."
 11.	PRE_RELIED
It is relevant to refer to another judgment of this Court in Ghurey Lal v. State of Uttar Pradesh4 in which the principles to be followed by the appellate courts to overrule or otherwise disturb the trial court's acquittal were crystallised as under: "70. ...
   1.	PRE_RELIED
The appellate court may only overrule or otherwise disturb the trial court's acquittal if it has "very substantial and compelling reasons" for doing so.	PRE_RELIED

 A number of instances arise in which the appellate court would have "very substantial and compelling reasons" to discard the trial court's decision.	PRE_RELIED
"Very substantial and compelling reasons" exist when: (i) The trial court's conclusion with regard to the facts is palpably wrong; 4 (2008) 10 SCC 450 (ii) The trial court's decision was based on an erroneous view of law; (iii) The trial court's judgment is likely to result in "grave miscarriage of justice"; (iv) The entire approach of the trial court in dealing with the evidence was patently illegal; (v) The trial court's judgment was manifestly unjust and unreasonable; (vi) The trial court has ignored the evidence or misread the material evidence or has ignored material documents like dying declarations/report of the ballistic expert, etc.
   	PRE_RELIED
(vii) This list is intended to be illustrative, not exhaustive.	PRE_RELIED
2. The appellate court must always give proper weight and consideration to the findings of the trial court.	PRE_RELIED

   3. If two reasonable views can be reached--one that leads to acquittal, the other to conviction--the High Courts/appellate courts must rule in favour of the accused."	PRE_RELIED

 12. Interference with the judgment of the trial court in this case by the High Court is on a re-appreciation of evidence which is undoubtedly permissible.	ANALYSIS
Though the High Court was aware of the well-settled principles of law in matters relating to appeals against acquittals, it failed to apply the same in their proper perspective.	ANALYSIS

Interference with an order of acquittal is not permissible on the ground that a different view is possible.	ANALYSIS
If the acquittal is justified on a probable view taken by the trial court, it should not be interfered with.	ANALYSIS
The reasons given by the trial court for acquittal mainly pertain to the delay in lodging the FIR, untrustworthy eye witnesses, improbability of identification of the accused, non- examination of independent witnesses, previous enmity between the accused and the witnesses, non- production of important prosecution witnesses and improper investigation of the case.	ANALYSIS
On a thorough examination of the entire evidence on record and the judgment of the trial court, we are of the considered view that the judgment of acquittal by the trial court is justified which ought not to have been interfered with by the High Court.	RATIO
The High Court could not have reversed a judgment of acquittal merely because another view is possible.	RATIO
The High Court brushed aside the findings recorded by the trial court relating to certain omissions as being minor and held the omissions should not have been the basis on which the Appellants have been acquitted.	RATIO
The High Court ignored the fact that the presumption of innocence      in favour of the Appellants is further strengthened by an order of acquittal.	RATIO
No perversity in the judgment of the trial court in acquitting the Appellants has been demonstrated by the High Court for interfering with the judgment of the trial court.	RATIO
13. For the aforementioned reasons, the Appeals are allowed.	RPC
The judgment of the High Court is set aside and the judgment of the trial court is restored.	RPC
The Appellant No.3 was released on bail on 30.01.2017.	RPC
His bail bonds are discharged.	RPC

 ...................................J.
                                 [ L. NAGESWARA RAO ] ..................................	NONE
J.
                               [ R. SUBHASH REDDY ]	NONE
New Delhi, December 04, 2018.	NONE
