                                                                          #12-13	PREAMBLE
Equally, where the preponderance of evidence indicates absence of culpability and complexity of the assessee it should not be harassed by the Revenue‟s insistence that it should prove the negative.	ARG_PETITIONER
In the case of a public issue, the company concerned cannot be expected to know every detail pertaining to the identity as well as financial worth of each of its subscribers.	ARG_PETITIONER
The company must, however, maintain and make available to the Assessing Officer for his perusal, all the information contained in the statutory share application documents.	ARG_PETITIONER
In the case of private placement the legal regime would not be the same.	ARG_PETITIONER
A delicate balance must be maintained while walking the tightrope of Sections 68 and 69 of the Income Tax Act.	ARG_PETITIONER
The burden of proof can seldom be discharged to the hilt by the assessee; if the Assessing Officer harbours doubts of the legitimacy of any subscription he is empowered, nay duty bound, to carry out thorough investigations.	ARG_PETITIONER
But if the Assessing Officer fails to unearth any wrong or illegal dealings, he cannot obdurately adhere to his suspicions and treat the subscribed capital as the undisclosed income of the company.”	ARG_PETITIONER
 6.      In our opinion, as Section 68 of Act, 1961 has been interpreted as recently as 2008 by a Division Bench of this Court in Divine Leasing & Finance Ltd. (supra) after considering all the relevant judgments, we do not have to reconsider all the judgments referred to by Mr. Sahni which are prior in date and time to the aforesaid judgment.	ANALYSIS
In fact, a Special Leave Petition filed against the said Division Bench judgment was dismissed by the Supreme Court by way of a speaking order in Commissioner of Income Tax Vs.	PRE_RELIED
Lovely	PRE_RELIED
Exports	PRE_RELIED
(P) Ltd., 216 CTR 195 (SC)	PRE_RELIED
. The Supreme Court in Lovely Exports (P) Ltd. (supra), has held as under:- “2. Can the amount of share money be regarded as undisclosed income under s. 68 of IT Act, 1961?	PRE_RELIED
We find no merit in this Special Leave Petition for the simple reason that if the share application money is received by the assessee company from alleged bogus shareholders, whose names are given to the AO, then the Department is free to proceed to reopen their individual assessments in accordance with law.	PRE_RELIED
        Hence, we find no infirmity with the impugned judgment……”	PRE_RELIED
 7.      	ANALYSIS
Consequently, the doctrine of merger would apply and the judgment of the Supreme Court in Lovely Exports (P) Ltd. (supra) would cover the field with regard to interpretation of Section 68 of Act, 1961.	ANALYSIS
 8.      In any matter, the onus of proof is not a static one.	ANALYSIS
Though in Section 68 proceedings, the initial burden of proof lies on the assessee yet once he proves the identity of the creditors/share applicants by either furnishing their PAN number or income tax assessment number and shows the genuineness of transaction by showing money in his books either by account payee cheque or by draft or by any other mode, then the onus of proof would shift to the Revenue.	ANALYSIS
Just because the creditors/share applicants could not be found at the address given, it would not give the Revenue the right to invoke Section 68.	ANALYSIS
One must not lose sight of the fact that it is the Revenue which has all the power and wherewithal to trace any person.	ANALYSIS
Moreover, it is settled law that the assessee need not to prove the „source of source‟. 9.     We also find that in the case of the respondent-assessee itself, a Division Bench of this Court in Commissioner of Income-tax v. Dwarikadhish investment (P.) Ltd. (2008) 167 Taxman 321 (Delhi) had dealt with a similar issue with regard to the Assessment year 1997- 98.	PRE_RELIED
The relevant portion of the order passed by the Division Bench in the said judgment is reproduced hereinbelow:- “3.	PRE_RELIED
The Assessing Officer required the assessees to furnish details and documents.	PRE_RELIED
The assessees produced copies of sale and purchase bills of the share brokers through whom the transactions took place and photocopies of confirmations of persons who had contributed the fresh share application money.	PRE_RELIED
The assessees furnished the PAN (GIR) numbers of the applicants, the details of the cheque numbers and dates.	PRE_RELIED
       The assessees contended that letters sent to the shareholders had not been responded to.	PRE_RELIED
4.     	ANALYSIS
The Assessing Officer required the Assessee to furnish bank statement to substantiate the money availability with the Assessee and also to prove the genuineness of the transactions.	ANALYSIS
This not having been done, the Assessing Officer got enquiries made through an Income Tax Inspector who found that none of the applicants were found to exist at the address given in the confirmations.	ANALYSIS
However, the report of the Income Tax Inspector was furnished to the assessees on 22nd February 2000 and the Assessment order was passed on the very next day, that is, 23rd February 2000 giving the assessees no time to respond. 5.     Before the CIT (A) the assessees furnished additional evidence, copies of which were sent by the CIT (A) to the Assessing Officer for comments.	ANALYSIS
Despite reminders, no response was received from the Assessing Officer by the CIT(A) on the additional evidence.	ANALYSIS
The CIT(A) then admitted the additional evidence.	ANALYSIS
After examining the entire record, the CIT(A) deleted the addition on account of the unexplained share application money for………. 	ANALYSIS
6.     In the appeal by the Revenue, the Tribunal found that the facts of the case were no different from those in the case of the group company of the present Assessee namely M/s.       Dwarikadhish Financial Services.	ANALYSIS
In the said case the Tribunal had deleted the addition made by the Assessing Officer on account of unexplained share application money.	ANALYSIS
       The said decision was upheld by this Court in its order in CIT v. Dwarkadhish Financial Services [2005] 148 Taxman 54. 7.	PRE_RELIED
That apart, the Tribunal again examined the documents giving the details of each of the applicants.	ANALYSIS
It noted that ?the above documents were available on the file of the AO.?	ANALYSIS
Accordingly it dismissed the Revenue's appeals.	ANALYSIS
Learned counsel for the Revenue sought to distinguish this Court's decision in the case of the group company of the assessees, on the ground that the facts there were different.	ANALYSIS
       However, we find that the findings of the CIT(A) as extracted hereinabove are sufficient to show that the additions made by the Assessing Officer were not justified.	ANALYSIS
The reasoning and conclusions arrived at concurrently by the CIT(A) and the Tribunal suffer from no perversity and are consistent with the law as explained by this Court in Commissioner of Income Tax v. Divine Leasing and Finance Limited (ITA No. 53/2005 decided on 16th November, 2006) reported in (2007) 207 CTR (Del) 38 and in particular para 16 which reads thus: “In this analysis, a distillation of the precedents yields the following propositions of law in the context of Section 68 of the IT Act.	ANALYSIS
The Assessee has to prima facie prove (1) the identity of the creditor/subscriber; (2) the genuineness of the transaction, namely, whether it has been transmitted through banking or other indisputable channels; (3) the credit worthiness or financial strength of the creditor/subscriber; (4) if relevant details of the address or PAN identity of the creditor/subscriber are furnished to the Department along with copies of the Shareholders Register, Shared Application Forms, Share Transfer Register etc., it would constitute acceptable proof or acceptable explanation by the Assessee;	ANALYSIS
(5) The Department would not be justified in drawing an adverse inference only because the creditor/subscriber fails or neglects to respond to its notices; (6) the onus would not stand discharged if the creditor/subscriber denies or repudiates the transaction set up by the Assessee nor should the AO take such repudiation at face value and construe it, without more, against the Assessee.	ANALYSIS
(7) The Assessing Officer is duty-bound to investigate the credit worthiness of the creditor/subscriber the genuineness of the transaction and the veracity of the repudiation.”	ANALYSIS
(p. 453)	ANALYSIS
9.    	ANALYSIS
We are of the view that no substantial question of law arises in these appeals.	ANALYSIS
Accordingly, these appeals are dismissed.”	ANALYSIS
10.    	ANALYSIS
We are also informed that a Special Leave Petition against the aforesaid Division Bench judgment in the case of the respondent- assessee has been dismissed by the Supreme Court.	ANALYSIS
Accordingly, we are of the opinion that no question of law arises in the present cases as the matter is fully covered by the judgment of the Supreme Court in Lovely Exports (P) Ltd. (supra) as well as the Division Bench judgment of this Court in the case of the respondent-assessee itself.	ANALYSIS
 11.    Consequently, we are of the view that the present appeals amount to relitigation.	ANALYSIS
The Supreme Court in K.K. Modi Vs. K.N. Modi and Ors., (1998) 3 SCC 573 has held, “It is an abuse of the process of the court and contrary to justice and public policy for a party to relitigate the same issue which has already been tried and decided earlier against him. 	PRE_RELIED
The reagitation may or may not be barred as res judicata.	PRE_RELIED
But if the same issue is sought to be reagitated, it also amounts to an abuse of the process of the court…..”.	PRE_RELIED
12.    Though we were initially inclined to impose costs yet we are of the opinion that ends of justice would be met by giving a direction to the Revenue to be more careful before filing appeals in a routine manner.	RATIO
In our view, appeal should not be filed in matters where either no question of law arises or the issue of law is a settled one.	RATIO
We give this direction because the „judicial capital‟ in terms of manpower and resources is extremely limited.	RATIO
 13.    Registry is directed to communicate copies of this order to all the Chief Commissioners of Income Tax in Delhi for necessary action.	RPC
 With the aforesaid direction, the present appeals are dismissed in limine but without any order as to costs.	RPC
 MANMOHAN, J. CHIEF JUSTICE August 02, 2010 rn/ng	NONE
