$~4*      IN THE HIGH COURT OF DELHI AT NEW DELHI+                 CRL A 1308/2015 & CRL M (B) 8293/2015       X                                                     ..... Appellant                         Through:       Mr. Harsh Prabhakar, Advocate                                        (DHCLSC) with Mr. Salman Hashmi                                        and Mr. Anirudh Tanwar, Advocates.                               versus       STATE OF NCT OF DELHI                              ..... Respondent                     Through:           Ms. Kusum Dhalla, APP along with                                        Inspector Prashant Yadav, PS Jagat                                        Puri       CORAM:       JUSTICE S. MURALIDHAR       JUSTICE I.S. MEHTA                               JUDGMENT%                               20.11.2017	PREAMBLE
 39. Although the Trial Court did not have the benefit of the medical records which has now been produced before the Court, there was sufficient material in the form of oral depositions and documents (including Ex.PW2/A) pointing to the Appellant being a chronic patient of mental depression.	ANALYSIS
 The role of the IO 40.	ANALYSIS
The IO, despite learning of the fact that the Appellant was suffering mental depression for long, did not probe that angle further.	ANALYSIS
In particular, the records of the hospitals where the Appellant received treatment were not collected; the doctors treating him were not spoken to.	ANALYSIS
If the IO had taken note of the contents of the earlier complaint of the deceased (Ex PW-2/A) he could not have failed to notice that the Appellant was a chronic patient of depression.	ANALYSIS
It appears that the failure to do so resulted in relevant material concerning the mental condition of the Appellant at the time of commission of the offence not being brought on record.	ANALYSIS
 41. In Sidhapal Kamala Yadav v. State of Maharashtra (2009) 1 SCC 124, the Supreme Court quoted from the judgment of the High Court, under appeal before it where, inter alia, while discussing Section 84 IPC, it was held as under: “The onus of providing unsoundness of mind is on the accused.       	PRE_RELIED
But where during the investigation previous history of insanity is revealed, it is the duty of an honest investigator to subject the accused to a medical examination and place that evidence before the Court and if this is not done, it creates a serious infirmity in the prosecution case and the benefit of doubt has to be given to the accused.	ANALYSIS
The onus, however, has to be discharged by producing evidence as to the conduct of the accused shortly prior to the offence and his conduct at the time or immediately afterwards, also by evidence of his mental condition and other relevant factors.”	ANALYSIS
The role of the Court 42.	ANALYSIS
There was an opportunity even during the trial for this angle to be examined.	ANALYSIS
Given that in the testimonies and documents referred to there was sufficient indication of the treatment received by the Appellant in the period immediately preceding the occurrence, the Court had the option of getting the treatment records requisitioned through the IO and calling as court witnesses experts to examine the said treatment records.	ANALYSIS
In fact this is what this court did when the appeal was first heard by it.	ANALYSIS
 43. In Radhey Shyam v. State ILR 2010 Supp. (2) Delhi 475, this Court reflected on this aspect by observing as under: “38.	PRE_RELIED
It would be virtually impossible to lead direct evidence of what was the exact mental condition of the accused at the time of the commission of the crime.	PRE_RELIED
Thus, law permits evidence to be led wherefrom the trier of the facts can form an opinion regarding the mental status of the accused at the time when the crime was committed.	ANALYSIS
Thus, evidence which can be led can be characterized as of inferential insanity.....	ANALYSIS
This evidence, common sense tells us would be the immediately preceding and immediately succeeding conduct of the accused as also the contemporaneous conduct of the accused.	ANALYSIS
 39. Thus, with reference to the past medical evidence or the medical history of the accused as the backdrop, the duty of the Court is to evaluate the conduct of the accused before, at the time of and soon after the crime and then return a finding of fact, whether the accused was of such unsound mind that by reason of unsoundness he was incapable of knowing the nature of the act done or incapable of knowing that the act was wrong or contrary to law.” xxx 46.	ANALYSIS
Thus, a fair trial would require that if there is available proof before the Judge that the accused was suffering from a psychiatric or psychological disorder i.e. there was a history of insanity, it is the duty of the Court to require the investigator to subject the accused to a medical examination and place the evidence before the Court as observed in the decision reported as AIR 2009 SC 97 Sidhapal Kamala Yadav vs. State of Maharashtra.” 44.	ANALYSIS
There are certain other circumstances which point to the possibility of the Appellant being driven to commit the crime at a time when he was not in complete control of his senses.	ANALYSIS
One is the ghastly manner in which the deceased was put to death.	ANALYSIS
There were 24 injuries on her body caused by the multiple household articles such as an iron tawa and two knives.	ANALYSIS
Yet another factor is that the Appellant chose to remain in the same room with his bloodstained clothes, making no effort to escape or conceal the evidence and rather making an extra-judicial confession to his brother PW-1.	ANALYSIS
It was perhaps reflective of his chronic mental state, which continued even during the pendency of this appeal.	ANALYSIS
The medical professionals at the Tihar jail confirmed to the Court that the Appellant continues to suffer from „bipolar disorder‟.	ANALYSIS
He continues to receive regular psychiatric treatment for the said condition.	ANALYSIS
 Medical literature 45.	ANALYSIS
Turning to the medical literature specific to bipolar disorder, Modi’s Textbook of Medical Jurisprudence and Toxicology (24th Edition), at page 753 defines „Bipolar Disorder‟ as „Manic Depressive Psychosis‟.	ANALYSIS
It describes the affliction thus: “Bipolar disorder is used for a group of mental illnesses with primary disturbances of affect, from which all other symptoms arise.	ANALYSIS
The affect i.e., the mood varies between extreme poles of cheerfulness and sadness.	ANALYSIS
The illness has a second characteristic of periodicity.	ANALYSIS
The third characteristic is returning to normalcy from attack, without impairment of mental integrity.	ANALYSIS
In practice, one finds that a single attack of a mania or a single attack of depression can occur.	ANALYSIS
It occurs in persons predisposed to mood disturbances.	ANALYSIS
” xxx “The depressives rarely indulge in petty crimes.	ANALYSIS
A minority may commit altruistic type of homicide.	ANALYSIS
Aggressive impulses are normally inhibited by the psychotic condition.	ANALYSIS
Hypochondrial delusions are often associated with homicidal impulses.	ANALYSIS
Hence, near relatives may be killed in order to prevent them from inheriting or developing some serious disease.	ANALYSIS
The psychotic depressive kills from motive, to his way of thinking, and is inherently good as opposed to the person with paranoid illness, who is motivated by spite and a desire to avenge the imaginary wrong. 	ANALYSIS
Homicidal and suicidal tendencies frequently co-exist in depressives, which stems from hopelessness, futility and despair.	ANALYSIS
      They believe that the killing of loved ones followed by self- destruction is the only practical solution.”	ANALYSIS
46. In the Cambridge Handbook of Forensic Psychology edited by Jennifer M. Brown and Elizabeth A. Campbell, (4th Printing 2013), it is inter alia observed that bipolar disorder, previously known as manic depression, has a mean onset age of about 30 and is characterized by mood swings that can range from extreme happiness (mania) to extreme sadness (depression) over a period of days or months.	ANALYSIS
It is further noted that: “In the depressive phase, symptoms include feeling sad and hopeless, lack of energy, difficulty concentrating, loss of interest in everyday activities, difficulty sleeping, feelings of worthlessness and despair, and suicidal thoughts.	ANALYSIS
In the manic phase, which usually comes after several periods of depression, symptoms may include feeling elated and full of energy, talking very quickly, and feeling self-important with great ideas not known to others, but also being easily distracted, irritated or agitated, not sleeping or eating, and doing things that bring negative consequences, such as over spending and dominating others.	ANALYSIS
 Delusions stemming from these disorders can lead the individuals concerned to become violent, for example if they believe that the lives of their families have become intolerable (depressive phase), or where they believe that no one must stand in the way of their important plans (manic phase).	ANALYSIS
The mental disorder can contribute directly to serious violence, e.g.       multiple homicide of loved family members.	ANALYSIS
As with schizophrenia, the precise cause of bipolar disorder is unknown, although it is thought to involve physical, environmental and social factors, with about 10-15% of sufferers nearest relatives also being affected.” 47.	ANALYSIS
In an article titled Patients with Affective Disorders admitted to Maximum Secure Care (1999-2003) authored by T. White, a Consultant Forensic Psychiatrist based in Perth, Australia (printed in Med.Sci.Law (2005) Vol. 45 No.2 p.142), it is noted that: “The McArthur Violence Risk Assessment Study (Steadman et al., 1998) recently reported that patients with bipolar disorder or major depression were more likely than those with schizophrenia to be violent over the course of a year.	ANALYSIS
Similarly, Swanson et al. (1990) in an early analysis of the National Institute for Mental Health Catchment Area Study, reported an equally strong association for depression, bipolar disorder and schizophrenia with reported violence.	ANALYSIS
In addition, the National Confidential Inquiry into Suicides and Homicides (Appleby, 1999) appeared to demonstrate a stronger relationship between depressive symptoms than positive psychotic symptoms in mentally disordered homicide offenders.”	ANALYSIS
Reasons that weigh with the Court 48.	ANALYSIS
The Court is of the view that in the present case, the defence of the Appellant with reference to Section 84 IPC ought to have been accepted by the trial Court for the reason that there was sufficient relevant material as regards the treatment being received by the Appellant for chronic bipolar disorder which, if fully examined with the help of experts, might have conclusively established such a defence.	ANALYSIS
It is sufficiently clear that the Appellant has been suffering from chronic depression for a long period.	ANALYSIS
There are records to show that he had been receiving treatment at least from 2007 onwards and continuous treatment at IHBAS for a severe condition for five months in 2010, less than six months prior to the occurrence.	ANALYSIS
He attempted suicide less than a month prior to the occurrence.	ANALYSIS
49. While one might never know what his precise frame of mind on the fateful day was, it is fairly evident that he was suffering from chronic depression throughout.	ANALYSIS
The failure by the investigating agency, and later by the trial Court, to thoroughly examine the available materials resulted in the Appellant being denied the opportunity to establish his plea of defence of unsoundness of mind under Section 84 IPC.	ANALYSIS
As explained in Sidhapal Kamala Yadav v. State of Maharashtra (supra), the resultant benefit of doubt created must enure to the Appellant.	ANALYSIS
 50. While the endeavour of the criminal justice system is to ensure that no crime goes unpunished, and there may be no doubt as to who committed the crime, the requirement of justice is also for the Court, when faced in a rare case with a plea of the accused under Section 84 IPC, to examine and evaluate "the conduct of the accused before, at the time of and soon after the crime" and determine whether by reason of unsoundness the accused was "incapable of knowing the nature of the act done or incapable of knowing that the act was wrong or contrary to law." 51.	ANALYSIS
For all of the aforementioned reasons, the impugned judgment of the trial Court dated 10th August 2015 convicting the Appellant for the offence under Section 302 and the order on sentence dated 17th August 2015 are hereby set aside.	ANALYSIS
The Appellant is acquitted of the offence under Section 302 IPC. Consequential directions 52.	ANALYSIS
In a case as the present one where the plea of unsoundness of mind of the Appellant at the time of commission of the crime is accepted, the needs of justice would be subserved if following his release the Appellant, given his condition, continues to receive treatment till such time he is in a position to be held responsible for himself.	ANALYSIS
As noted by this Court in its order dated 4th February 2016, the Medical Status report of the Appellant as forwarded by the Superintendent of Tihar Jail noted that Appellant was as of that date “suffering from bipolar affective disorder” and was under regular follow-up with the jail psychiatrist.	ANALYSIS
He continued to complain of “decreased sleep, low mood and anxiety.”	ANALYSIS
In its report dated 9th October 2017, the experts at IHBAS have noted that the Appellant “is diagnosed as suffering from Dysthymia with sever depressive episode with lumber sacral radiculopathy.”	ANALYSIS
The report notes that he “requires regular treatment but can be managed on outpatient basis.” „Dysthymia‟ is defined as „persistent depressive disorder‟. 53.	PRE_RELIED
In State of Rajasthan v. Shera Ram @ Vishnu Datta (supra) the Supreme Court affirmed a judgment dated 21st February, 2004 of the Rajasthan High Court acquitting the Respondent therein “primarily on the ground that at the time of incident, he was a person of unsound mind within the meaning of Section 84 IPC.”	PRE_RELIED
The High Court in that case had directed that the Respondent should continue to receive treatment in an appropriate hospital till he was fully cured of his mental illness.	ANALYSIS
